USERINFO_DATA
birthdate;nickname;pwd
rroadnighthi;fLBtdoKn2OW;25-Sep-1999
alaxhj;wwnaBB;13-Oct-2000
vmccormickhk;Au3lhQlCC8a;27-Jan-2000
mdicarlohl;e4fg88GdkJ1;14-Feb-1999
eganterhm;ScSdE7HogSZ;30-May-1998
hlucianhn;riSqMeo5;07-Jul-1998
rsollowayeho;QFOJIjeYZRcO;20-Nov-1998
scorneshp;NGaW1TqpnQj;03-Feb-1997
cflewitthq;LgDaHhJ;08-Mar-1997
bdomonehr;A8uBiROgzGI;08-May-1997
ndraytonhs;KhW9lHZPba;12-Feb-1998
othaxtonht;XBBRGnBC;22-Apr-1997
cplantehu;WIAlnhnedC;10-Dec-2000
pdudgeonhv;GsCskDrtlc1;20-Feb-1997
fleijshw;t9VjjYky;15-Nov-2000
mmeckiffhx;MHZb1h3uje;30-Apr-2000
adwyerhy;uHff25uEF;12-May-1997
wdarwoodhz;2Tvrpg1GDT2;20-Aug-1998
jjaquemari0;rNChVt71;15-Jun-1999
jchestneyi1;0fgJ6hcJl;08-May-1999
eduffriei2;m6U8pMUhioeF;23-May-2000
wspaffordi3;HOgQfRJgzicS;26-Feb-1997
dfrietti4;6fwzR9hDEo;13-Mar-2000
yoboyi5;GJJdQ3he3;07-Jul-2000
rsuggeyi6;U53GdoY4nJA;21-Jan-1997
graddoni7;asrzG6qpCO;18-Aug-1998
ibrangani8;N5irxleBoWs;23-May-1997
serlami9;3Oaogt;07-Apr-2000
mbenedickia;eNOU6mrP;28-Jun-1998
fpickoverib;lCOmLg;08-Sep-2000
lscrivneric;WC3yfPypTS;18-Dec-1999
orutledgeid;46L3bNJB26;27-Aug-1997
arigateie;vIDC9OiIDEi6;27-Jul-2000
fjenneryif;VmQYfFxXSW;18-May-1999
dposseig;Wqw3R9hqS;27-Mar-1997
edranih;BY5zXfGF;18-Jan-1999
wokaneii;wwP9TcgM;14-Dec-2000
isiretteij;yFTjrF;12-Dec-1998
rfurmedgeik;KqPdFd0FL;07-Jan-1999
ovarfolomeevil;k59HfL9;24-Aug-2000
egoodlipim;AdsVeY;23-Apr-1997
tstockingin;5MyCosj;24-Jan-1999
kcuddehayio;G9QAKnMA;14-Jul-1999
jblackwoodip;3QJ7NJC5V2;09-Jan-2000
wskepperiq;gfbSqnR0m;06-May-1997
sseldnerir;2aoCssl;25-Feb-1997
ctrudgeonis;RQxQIhu;27-May-1997
mmilesopit;i8JFWoSLX;31-Jan-2000
rbestwalliu;39qD3cJMk;30-May-1999
mswiggsiv;SuWvAIW;30-Nov-2000
dfaintiw;bEEiN1RB3;15-Jul-1997
poliveix;jAHejL6L;12-Jan-1998
ckirckmaniy;OsLQP5O;30-Jul-1997
jjozaitisiz;73GpmjaQm;19-Mar-1998
mjorej0;VmneKB;30-Dec-1997
lramptonj1;uxmRxs2;29-Aug-2000
soggerj2;pL2xmI;12-Jan-1998
lottewillj3;R5IWbHL4pWC5;13-Aug-1999
memanuelej4;14p2Vb4Paa;12-Jun-1997
kcoggingsj5;eCjkmj;12-Jun-2000
cstieblerj6;Gkmlp7;19-Jul-1999
kbranej7;QMK41E;09-Mar-1997
mjaysj8;lHx9Q4MbyO;12-Aug-1999
fbennikej9;kdnyhKxX8r;24-Nov-1999
ecoddingtonja;1EsUkGTVqpo;15-Jan-1997
kallseppjb;ZOrxAp7;23-Jul-1999
tmannjc;u6UXJ8;06-Nov-1997
rbartlomieczakjd;YuH4hLO;05-Nov-2000
raspinalje;bxzi7ZGzaN;26-Oct-1999
mclaidenjf;fVMS0kzrI;08-Jun-1998
fgehrtsjg;GsCixgXpr;23-May-1997
cwalshejh;uDFqV7Ssbrq;26-Sep-1998
mmucklestonji;kEHFE2kCW5;18-Mar-1997
dabramovjj;pvdlhyUupH3;23-Oct-2000
bbadlandjk;sXeumAP;20-Feb-1997
aleacyjl;Fx668Wg17w2V;19-May-1998
nferjm;HGyI9EE;28-Nov-1999
sgermannjn;f4kfBRa1;03-May-1997
ntottjo;cFWmWG;09-Jul-1999
hhaskelljp;clgM1Pr;11-Feb-1997
edoxeyjq;VUntqONKN;06-Jan-2000
fgrundlejr;XTmPior;02-Feb-1998
mshooterjs;ds5V8joJ79;10-Oct-1999
clongridgejt;5RpFDFH;18-Aug-2000
fbenchju;lHdEzQsrLJgU;05-Dec-1999
agoomjv;knb1HOZUSd;01-Jul-1999
agavrieljw;VMmXGzO2wt45;18-Oct-1997
fradloffjx;p2qMQ10S;04-Feb-2000
cdaceyjy;7xwflNUQi;14-Mar-2000
hjoveyjz;Qq4qzEZY;02-Dec-1998
gjotchamk0;vmevokvWFS;25-Sep-1999
odomkek1;ZCs4QBug;07-Feb-1998
rpevrealk2;8sL5atrnAco;05-Nov-1999
ncesconik3;hPasPKEELh;24-Apr-1999
fallwellk4;eu7s2tx06mf;23-Jul-1997
tdevalk5;89BbmEa3;17-Aug-1999
ckernark6;5TQupCxZh5Oz;06-Dec-2000
wdonnellank7;8w5F7Er42yvy;11-Aug-1998
vknottonk8;pgjQiIYA;11-Aug-1997
ljirak9;nCFGNDCjx;02-Mar-1997
mwalteringka;nqOmoZ3;21-Aug-1997
pconwskb;3yc3N9z;25-Dec-1998
veptonkc;YBtciJA2Lp;30-Dec-2000
acheverellkd;I8xIGr;30-Jan-1998
wmynardke;1QeXXhko;05-Oct-1997
fpirriekf;JJdyaPEWEmcG;08-Nov-1997
lhamprechtkg;MjCT5Ail;18-Oct-1999
bslewcockkh;9c3jiz;13-Dec-1997
fkerleyki;tTjUjuVrN;12-Sep-2000
rbattskj;9N4eW4TE;28-Sep-2000
growettkk;WlohuRipTKeb;11-Jun-2000
thainskl;AKWua9qp7xT;13-May-1997
aclynekm;5qxGBLKR;14-Sep-1998
plemariekn;GmJS45K;21-Dec-1998
ncomminsko;WbVG1o;01-Feb-1999
mtomeskp;oVoMgDL0Ql;11-Mar-1999
dwiddallkq;sGdcYF;19-Mar-1997
bputterillkr;gACm4rJR;09-Mar-2000
pelsdonks;LOU0XBdb;31-Dec-2000
amaclardiekt;BigW3cM3;23-Nov-1999
ciacoviniku;TfXcHWpWw;11-Jun-1999
ptoftkv;6wczvj;14-Jun-1999
rfileskw;hPPuXUmvXS;14-May-2000
fleytonkx;hNC1uJI;10-Nov-1997
lstlegerky;bPm38z1;28-Jul-1998
acousinkz;N06JEZU;03-Dec-2000
apickaverl0;TDFS8yuonq4;13-Sep-2000
ssherrockl1;ApcCnx;11-Jun-1999
bhedmanl2;UZsrzUgpb;15-Jul-1997
mwilflingl3;lYiKjOO9f4cC;04-Aug-1999
sbathaml4;aqbQlUjnxBGu;14-May-1998
dmathevetl5;EJLGgLEYwqQ;08-Mar-1998
leleyl6;1vfJbc;18-Mar-2000
hhendronl7;Be8Q6X;28-Dec-1999
cprycel8;fkARy2m;15-Jul-1998
ncasemorel9;1fYT9bALQI4Q;08-Feb-2000
hlamploughla;4sYrvVFa9a;28-Feb-1998
bpeeterslb;CnRPqdR7a;08-Oct-2000
creedelc;E2Zum6vDdc;18-Apr-2000
gsherrinld;kfmNTbbn;26-Oct-2000
kdeshortsle;atFasm;25-Dec-1999
imartinilf;IlaiFzZ;30-Oct-1997
bminichilg;acLHOx7ATQGt;10-Jan-2001
ngausonlh;xWnCuJpU2c;08-Jul-1998
akinnenli;9676cykQi4q;28-May-1999
hkilfetherlj;ePHwLHx10ZBz;23-Apr-2000
noverillk;mksa03s8b3eH;16-Jun-2000
dlomasll;50YhWiuROpsc;03-Sep-1998
dscullionlm;jIPqcZD2m1;14-Feb-1997
gguillouxln;iUfZaJ;26-Apr-2000
lmanserlo;CTuDPI;03-May-2000
lscarcelp;lewk56EFW1DA;24-Sep-1999
mfuchslq;INrfo2XLHMbv;23-Sep-2000
tbrainlr;7z1LHYKCvq;11-Nov-1998
kmatusovls;vmZwOUv;17-May-1997
smcmichanlt;Sse9BDX;08-Jan-2000
egamelllu;VbNORb9I;24-Jun-1997
mlanchburylv;ooJTmBVUKc8C;01-Jul-2000
smountcastlelw;QoMdqICRa;02-Jun-1998
brootelx;2V41QzoqOzW;30-Dec-2000
pankrettly;XoVD6oFYiGUW;11-Oct-1999
gdeblasilz;v3ujgHq4Z;28-May-1998
vcorderom0;UXb5bKFYLGw;07-Jun-1997
dbesnardeaum1;7IPfn0;08-Apr-2000
cgorglm2;2uA2UVYDZ5;09-Aug-1997
mtomeom3;O8Oa5Vh;04-Apr-1997
vvollerm4;JvhAw14;11-Jan-1999
bcotsfordm5;j70vQOlpGJ;12-Jun-2000
aengelmannm6;akWVz6FwNN;25-Jun-1997
esommervillem7;D6FTCU;04-Dec-1999
gbowickm8;eUV6HZey6;26-Mar-1999
wtowsiem9;HTXp9WH;10-Jun-1999
cscrasema;fQbJmDaH3;25-Oct-1997
rkapelhofmb;AZ8w4RHN8;29-Aug-1998
kturleymc;6q7vpkRPs;09-Mar-2000
bklehynmd;aZZ4nLdQWVw;13-May-2000
lgoganme;GF3fJj8QuX;31-Jul-1998
rvallerinemf;NhimXV;03-Dec-1999
mgilyottmg;UskUGFN;16-Aug-2000
rjuddmh;2uom9tGDt;22-Mar-1997
fdollemi;rcHjuY2zdrJk;27-Feb-1997
jgrimmertmj;DvefzYVqO;03-Feb-2000
hbirtmk;ZrzxMF;25-May-1998
vdarringtonml;EZ8VkFX;30-Jan-1998
dwoollacottmm;4vJTqIH;13-Mar-1997
rturnbullmn;P1980HT9Uh;19-May-1999
sloyndonmo;hcaOLYHC5c;06-Dec-1999
blandsboroughmp;T5LknA;18-Oct-1997
ljenkenmq;weJ68n2U;26-Mar-1999
tmeinermr;2BcjNzlAkIG;12-May-2000
ihelliwellms;EeSiXc;17-Aug-1998
cbedellmt;uplu87sJZAl;10-Mar-1998
echilesmu;TsNaRt;20-Jul-2000
rbrisbanemv;HwnaH8a1;22-Jul-1998
eoxmw;15C314dn;18-Oct-2000
vhupkamx;DHKoFLB;12-Dec-2000
tnealonmy;0hs1Mky;23-Jul-1998
bshentonmz;VKrn0RG;09-Jan-2001
knisbyn0;PO2iVCR;21-Aug-1998
kgawkesn1;TXuY0tEuGw;15-Feb-1999
mboorern2;m8kgSptN;21-Mar-2000
ffurmagiern3;e4wqVfcrae2h;16-Mar-2000
dcouthn4;3oYaAB;30-Sep-2000
rhackneyn5;Ach9v0L0P;27-Feb-1997
iwalln6;gC8ZxF;06-Aug-2000
rbeedhamn7;YI76zR8Eex;19-Sep-1997
bgiffn8;lzXymK;22-Jul-2000
cmaclennann9;a5KYvbQVoLj;14-Jun-1999
ebaughnna;kyRzjxoMz;18-Jun-1998
srentilllnb;9paOwEm;18-Oct-1998
bvalenc;P7SvGD8P;30-Sep-1997
bcristofvaond;oa47W8dV2;31-Dec-1999
ocelezne;pVcrYRb3SV;30-Apr-1997
rharesnf;XmzWCr;29-Nov-1998
lparffreyng;209rpCJ;21-Oct-1998
hmclainenh;DKQRa0;22-May-1998
mfransmanni;ZIxHTS;27-Apr-2000
abananenj;HZvrZlj;07-Aug-1998
mbocklernk;TCNntCgGEB;29-Dec-1997
ebengenl;98wlrmCiFp;25-Jan-1999
mmillhousenm;42ClP9k;06-Nov-1999
fmcmickannn;qeHZ3GkxhmT8;23-Dec-1998
ldrabbleno;oBdE2Bqh;28-Apr-1998
cenglandnp;7uGqn3bMT7;10-Mar-1999
sklammannq;tWlcdULs4h;03-Sep-1997
vwalklingnr;j2dnFAqoek;01-Mar-2000
jcrambns;bnxXNUz;08-Dec-1997
lwozencraftnt;t1bakT2cqJs;29-May-2000
pscamelnu;UZKJRa1Xg;20-Dec-1998
adennantnv;awpWU3X0;25-Dec-2000
jfoxennw;5EujneCR6tW;02-Apr-1999
rperisnx;5Vg7Up;11-Oct-1999
kkrautny;EaXV8xP1a4c;02-Apr-2000
tgammelnz;NC9JIf;16-Nov-2000
rspilletto0;wFnC25bAAg1;17-Oct-1999
faymeso1;iXsu7Z9;10-Feb-2000
eofieldo2;TJe0BKhdD;30-May-2000
sdyerso3;zsdvJZq2cz;22-Jun-2000
ogiffardo4;cZg9syz67Sdt;12-Nov-1997
adredgeo5;bnQU5lovcQz;07-Jul-1998
kvaloiso6;yMggxmY4PLgz;15-Aug-1998
jwearingo7;8yDiUhX15yIw;20-Apr-2000
gadeso8;Gu6Dmrbog;07-Apr-1999
mtenneyo9;8jTgiRn;03-Jul-1997
glowcockoa;9aBfJlHM;22-Jul-1999
lsparwayob;6EcXbHrjCR8u;17-Feb-1998
ucarnockoc;pgIizLEWuGV;21-Feb-1998
ksweetingod;g5NYosGigOB;02-Jun-2000
ebronotoe;G8kQotbNzE;13-Sep-1998
mdudderidgeof;cpy5O1vUD;29-Oct-1999
seaddyog;q5cVq6wS;17-Sep-1999
fstanbraoh;ww5VXCkV;31-Jul-1998
ecreboeoi;aw6g0Ntw;04-May-1997
kdeschelleoj;PfqQSTwtSncT;01-Dec-1997
rsnufflebottomok;hwmv4Fvo3LKO;02-Apr-1997
zradageol;xLA6GnI;13-Nov-1999
saronovitzom;gEp39wEVfmN;09-Dec-1998
mbeldenon;8xHSsftWA;07-Jan-1999
plisleoo;zgcYk4b;20-Sep-1997
hpollicottop;ADwyrahI65K6;20-Jul-1998
fogersoq;vCRHBtj6SKNC;15-May-2000
ssellimanor;HJeHI6eF;24-Mar-1999
aflemingos;S84yeuUa;09-Jul-1999
vliepinsot;vPV0vk9f;22-Mar-1997
dhonywillou;13Vmz5yaDh;19-Mar-1997
aschierschov;XZlVPlwLrjLO;01-Dec-2000
bpatientow;UmJrlD9jz2AO;10-Jul-1999
wcrosselandox;YZSmvb9OdARU;08-Nov-1999
jsabanoy;jiWMe4VCtiMM;17-Mar-2000
jmanilooz;43c7AL6;09-Jun-2000
jjohanssonp0;1rT3aPdh;04-Feb-1999
ebothamp1;OOnqmRDH5;11-Dec-2000
emincinip2;K8RJBruOs;28-Jun-2000
cgwynp3;tN1zAI4X;10-Nov-1999
dshellcrossp4;9DE4LL9UMH;20-May-1997
amerryfieldp5;Hd56cSJiiU4l;18-Jun-1997
mflyep6;We94slUIyf;08-Mar-2000
shinkensenp7;fCWG3N1ZP5MI;19-Nov-2000
aocannanp8;2K62Nr;27-May-1998
ibittlesonp9;cktfvZmS;10-Oct-1999
wmaudsleypa;0eyn4sz;11-Aug-1998
fmiskenpb;xtNX0GEa0U;22-Oct-1997
mdebrettpc;zwd0vI;06-Nov-1998
wshemmingpd;V3OOer2q;28-Oct-1997
gmccrumpe;ZAlSRQswX;06-Dec-1998
etarneypf;HMkCJ5WyH;14-Jun-1998
dkemingpg;mwC8jPLdB;25-Sep-1998
bkarchowskiph;JCvMISLrukR;17-Mar-1998
rfoordpi;bl2cXK;24-Jul-1997
ehalpinepj;eJb6fCJDxi;16-Feb-2000
maristidepk;0h3h94me4;18-Jun-2000
elambkinpl;VRv4HNvPAC;17-Aug-1997
dreckepm;SRzy4bkZ;21-Jul-1998
tkeymarpn;SConI4pisp;21-Nov-1998
talsoppo;zDYlWY8R8;21-Sep-2000
ayitzhakovpp;D0yeHuZK;26-Jul-1998
jespositapq;kTocp9;15-Aug-2000
hchezierpr;L3FVm6jdogV;11-Jan-2000
fdevitaps;jE2Sl4nCn;03-Feb-1997
gvaseninpt;aYmqRlNjub;18-May-1998
mmcgilvrapu;9VegrZQ3y;28-Nov-2000
bbadbypv;6a18k4if;22-Feb-1998
echaterspw;bLOyYi7;15-Dec-1999
cmcglashanpx;QTMHNXPNFp;16-Jan-2000
gmouldenpy;NSJqzRrBlXM;23-Sep-1999
abottinellipz;BTBvVRWkW;22-Jan-1997
divashinq0;hYqfVs6uRpNj;19-Jul-1998
kfotittq1;70qs96B8;30-Mar-1998
kfairallq2;4NdSVLPBk8;20-Jun-2000
votteridgeq3;KPNVbs;08-Dec-1997
jgerhtsq4;VKAL07HXMAxa;31-Aug-1998
ilydiateq5;kmCFXOl;21-Aug-2000
bhowarthq6;iA2AjXWLF;28-Apr-1999
vspooleq7;gElWRC;07-Jul-1998
gevasonq8;u3eD9naKBdF;26-Aug-1998
lrivelinq9;lEI0Msh6vFrM;18-Nov-2000
lcleaverqa;2hF9Dm;11-Jan-1998
mdetocqb;3ypXiQ;11-Dec-1999
mobispoqc;saNkAkX;28-Jul-1997
jwolversonqd;0Dtbtu3;31-Jul-1998
bsconeqe;BQdzTX4ORO7s;29-Apr-1997
dbowtonqf;vuMcrJbWjK;29-Apr-1998
mreeceqg;qlUqgO;25-May-1999
tswindonqh;LobJwZmvRkF;09-Oct-1998
evonoertzenqi;LyGCaGyt;03-May-1997
ebackhurstqj;wI96vjuap;02-Jun-1998
mromaynesqk;CC30wvKO6Y;02-Dec-2000
vmartinotql;OYqrT491Z4;22-Nov-1998
tmatyushenkoqm;ag8vWN31;27-Dec-1999
iclintqn;59zZ2FRex2Cp;25-Jan-1999
bkeeneqo;VkltcVmkvE;14-Oct-1999
arentzqp;yJThxk;10-Sep-1997
smcliceqq;l1OAoPJJGGP;18-Dec-1997
ecramqr;Zp8xYsQNK;26-Mar-1999
coldroydqs;LZyFFy2y1Ep;01-Nov-1997
msteedmanqt;eEQ2Nlm8RCvA;29-Apr-1998
hriddifordqu;xZDHXtiRUtJz;30-Dec-1999
dclapstonqv;elUL9pxtF;23-Jan-1997
bfuscoqw;6ZGXX6;22-Dec-1999
lpaskeqx;9Dek6qLASnEc;09-Oct-1999
lleonardeqy;iodkUgn0BTi;14-Mar-1997
gwemyssqz;QSp4n9V31M;05-Oct-1999
ekingsburyr0;sD8FXW57j;25-Mar-2000
abriscamr1;UC5PMlcae;22-Jun-2000
athelwllr2;L06SN9;19-Dec-1997
dheartr3;fQKG0a;21-Aug-1997
bbearfootr4;sU4uSddCATdn;08-Apr-1998
smccreeryr5;uIyv9tbJ8QmM;30-Oct-1999
jcoilsr6;KspJTRUI1w;01-Nov-1997
dstoryr7;ThRUMP;16-Jun-2000
aflintoffer8;T4m2XwZ;09-May-2000
cotoweyr9;QDU1tjC0;27-Sep-1998
erasherra;h8OYES;02-Jan-1999
aprynrb;vq6LtGxC9E7v;29-Aug-1999
etummondrc;1G1FMQYsg;30-Jan-1999
dfonesrd;f2bfTiodCk1;18-Apr-1999
mtrekerre;YQmCd7;01-Oct-1997
rbotterellrf;7CXNBHL1b;15-Feb-1998
ktirrellrg;X1MLIxdDw;13-Dec-1998
cpeckettrh;d22yGJ;21-Dec-1999
mgalvanri;zSGzDcE;13-Jan-2000
ejillissrj;RV1yNvFYeDPK;22-Mar-2000
jiddendenrk;gRvtxiaJZoV;15-Sep-2000
ngooldrl;1yOKWvl;19-Sep-2000
bbexonrm;bJ8aQ6fU;17-Dec-1997
tchansonrn;7MTzpqRS;03-Oct-1997
rpawnsfordro;5gUG8HnN6Kk;05-Apr-2000
ahaconrp;opH8o7;26-Jan-1999
egerrettrq;veP1ug2K;28-Jul-1998
scattemullrr;GXVmkpJ;18-May-1997
hradki0;b7VcI2C;05-May-2000
jjanaway1;MtfOe1L;25-Oct-2000
lfidoe2;suYebgtYB6s;09-Dec-1999
fbabbe3;RaQhZBx2hAl;10-Jun-1998
tbarth4;KeufP8AnG;01-Jun-1997
rcoull5;9ZwYiAL7d2qR;10-Jul-2000
vsharpless6;LRevKjIZ;25-May-1997
jcowpe7;pwNNj7gYekqb;20-Dec-1999
nlidell8;sdxIgCQzc454;15-Nov-1999
jbattelle9;wJf4Nc;20-May-1999
elanglaisa;pJMJRxAkv5;11-Jun-1998
agatwardb;WL3cIEw4Vn;11-May-1999
gcashc;M9wx0K2X;21-Feb-1999
sblackeyd;2rpwox;06-Apr-2000
cinnmane;HaHI7PzLo9n;22-Sep-1999
friguardf;j6k4ngROmM;08-Jun-2000
spitceathlyg;wZNpqWm;16-Jan-2000
nmuldrewh;tn9QaPm;30-Sep-1997
rroseni;xGZgx8VkraP;31-May-2000
rroachj;UnJplVk8mPL;30-Jul-1997
awinstanleyk;cFFJZB;04-Sep-2000
mblindermannl;5x6wMd3JLCH;23-May-1997
abreem;RF7O6Tudpv;08-Dec-1998
ocaffn;KxSCv46;25-Mar-1999
tmcclosho;zKBpMj4k;30-Aug-1997
znewhamp;DFkgmKDgtgJ;18-Mar-2000
eorhtmannq;HTI35MPr;05-May-1997
jtiner;gicoXwA;05-Mar-1997
dterzos;mGIpNy9uuLW;02-Feb-1999
cburdist;bJNc0Z4;15-Nov-1999
nwhitlawu;iVhFyhmu;29-Mar-1998
phuckerv;SmdmszhoD2;26-Feb-1997
uerringtonw;AdMdroYP;15-Nov-1999
krawcliffex;GXlCroVn;16-Jan-2000
mpummelly;Jcryf94b;01-Nov-1998
mgilfetherz;sO45Iis0Zq;22-Mar-2000
ocinavas10;9TpVoP;29-Oct-1999
mguswell11;ULdvAUhM;28-Feb-2000
jnice12;qnb6RwQ;02-Nov-1999
lsmeuin13;rTaKZnwdZFuB;27-Mar-1998
lhofner14;AB1zmcb;23-Nov-1999
mfoxcroft15;5wjszCRG3;17-Oct-1997
gsnodin16;kW2ZkvWWm;25-Jun-2000
bhuntingford17;r8efJQBzGob;21-Jul-1998
bflowerden18;PvuiBnxlt;06-Aug-1997
learwaker19;T8ZZBAXHgVv;22-Nov-1998
blennon1a;P271j2yiiK1j;19-Jul-2000
jcastle1b;CRdsHuN;25-Sep-1998
eberndsen1c;rEe9VaWX4M5;09-Mar-2000
gpostlewhite1d;lRY5NI;29-Jan-1998
hsnyder1e;1iPNPotYoXmw;03-Jun-2000
jkenworthey1f;8vQGzu;19-Oct-1997
pduplan1g;nloZ375;02-Oct-1997
dbinstead1h;Z8cAgnwskp;24-Oct-2000
tcudde1i;PGec9Wzz;01-May-1997
lskade1j;twpWRTHx;22-May-1997
ggaven1k;jdbv4R4RkM;22-Jan-2000
lruhben1l;8JpjYp;17-Jun-1997
cbushel1m;i8jv6c05n4Z;21-Nov-1997
rpolson1n;9GnJRp;26-Feb-1998
mkimmins1o;PGy3ViH;10-Dec-1997
shark1p;RWoUi18Eerz;12-Mar-1998
labelovitz1q;ZNRDEEk;05-Jan-1999
btempest1r;Ov8a2FGDx4j;28-Mar-1998
dforre1s;4Mywi3qF4KvC;24-Oct-1997
dsommerland1t;bVGTBW;23-Dec-1997
bclear1u;g6vsjBCJ3c;13-Mar-1998
gmchenry1v;o6Z3CwtHxLK;23-Nov-1999
rkilpin1w;Lp2rkKo28;09-Oct-1998
iseniour1x;ppCPIHlkuaGV;28-Jul-1999
brubertis1y;b4gLQV;23-Nov-1998
lgetcliff1z;ctF4bMaRy3T;01-Mar-2000
gcrummay20;Tv8H4mo9rmW;04-Jul-1997
dduly21;StLWIkG3eCV;24-Nov-1998
shinze22;C7fIQa;24-Aug-2000
esitwell23;FFmCNGT;16-Oct-1999
kwilcinskis24;TMKixBvgWN;28-Nov-1997
fpoulden25;7cLociO9;09-Dec-1997
mwaldron26;5lZLBdTnYo;23-Nov-1998
kricardot27;LHxsNKQflj9A;07-Nov-2000
sjohananov28;OkwixUtM;14-Mar-1997
ccastilla29;DtzraTKzIpq;17-Jun-1997
bupwood2a;vTNXqGl2vyI;16-Nov-1998
bpearsall2b;me9toLS3Vw;28-Nov-1999
dpane2c;wwDS3Pw6F;24-Mar-1997
hvalde2d;6W2g7VTC;27-Jun-1998
vblackston2e;HhyQuUyI8jC;22-Feb-2000
mtossell2f;jyOQSr;07-Oct-1997
hcathrae2g;roW6Y0cT;07-Mar-1997
aallinson2h;qmpbRMVko;04-Nov-1999
skreber2i;UEbREO;16-Jan-1998
rboodle2j;uVFdyND;17-Mar-1998
mmaccardle2k;zsdEWF;26-Feb-1999
greneke2l;HuNUBe;06-Apr-1998
kleeman2m;whzuvAwG34;16-Sep-2000
fbohea2n;3L7FPJ;01-Dec-1998
gbrodway2o;0EnZsdAT9Q;04-Nov-1998
bpiccop2p;WB72NB5aQ;01-Jun-1999
esandaver2q;rOkbkgP;22-Feb-1997
lserrier2r;0J4zPNdayI;29-Apr-1999
hknowlden2s;MFkbL0j;03-Nov-1997
tcritzen2t;okHv3DOinE5Y;16-Mar-1997
sducker2u;POAFZcEawK7K;10-Jul-2000
askate2v;vaaKREgQPvUc;03-Feb-1999
kcovill2w;o2y4LqpkxZXm;27-Oct-1997
ftollemache2x;R75daDSI;28-Apr-2000
mparsonage2y;dkyWJioO;13-Apr-2000
fbullion2z;EZRhodJjAYU;21-Sep-1997
cmcneilley30;1MclutO6iE;18-Sep-2000
cspiller31;QnpOzHHxi9as;10-Jan-2001
tshard32;6RMakKCw;18-Aug-2000
sdrewes33;HzKZXyaCF;09-Sep-1998
ntwitchett34;W1acL7Gka;13-Jan-2001
ttimbrell35;SxqH7pq6j;12-Apr-1999
pbutland36;O1dkGRo0e;20-Apr-2000
drheaume37;Rukt5z4Wlz;02-Jul-1999
bchipps38;rfXMkqa5S4t;04-Jul-1999
vfreezer39;XGMWHA;23-Dec-1997
glist3a;uS98dAn;30-Nov-1999
abeamson3b;NxNZ3rN;12-Feb-1999
mrickhuss3c;dI9XPWFC;05-Jun-1997
rault3d;8TZ6Pk;05-Mar-1998
rmarty3e;QAsKst;01-Jul-1999
ylanglois3f;CHxRAYfAiNe;07-Sep-2000
slaughren3g;6BAmF6Nc5u6;15-Mar-2000
aentwhistle3h;DRVJ8Q3rzVHc;05-Jul-1997
blindeman3i;1zKVvwFoc;01-Apr-1997
akevlin3j;A546utmC;15-May-1999
lscardifield3k;Sa0PMuvFP;11-Sep-1997
ewais3l;9GyGhmYEGJ;01-Oct-1998
tropkins3m;pfQ1SYSG6;28-Nov-2000
ablackwood3n;ACs9rw2N;21-Oct-1999
cmacaloren3o;3qqRO5hzwcNb;02-Mar-1999
bstellman3p;lGJbJUWsWkj;13-Mar-2000
hwedon3q;669LSrNosm3;25-Aug-1998
jhanbury3r;rRn4An;13-Feb-2000
whassall3s;bmOaRRM8k;27-Aug-1997
xcullinan3t;B1P69TD0;10-Jul-1999
cpresidey3u;St3Iqq73N0IC;02-Mar-2000
sgosnoll3v;HdcMe3jM;15-Dec-1997
kmelley3w;qb36ImN6FO;12-Sep-1998
mmcilharga3x;rjvcRJbL;15-Nov-1999
bfetherby3y;qjAN1gfATToY;11-Jan-1998
jalven3z;VQB4bO;28-May-2000
cpennycook40;61h7a53z1SGq;03-Jul-1998
jansett41;a8yItWyDP0F;13-Nov-1999
lredhead42;P1DACG;31-Dec-2000
bsnell43;wrQyXIUN;09-Dec-2000
bsiveyer44;z3pgyM;06-Apr-1999
nmishaw45;XyLWtYIBVxk;27-Jul-1997
aceyssen46;Yla2W2;27-Jun-1999
akale47;odrSM3WL;12-Sep-1998
aschall48;RTrkNe;28-Feb-2000
gclawsley49;KBH1Dg1wUSF;20-Jan-1997
jgigg4a;gxu2yfUUt;11-Sep-1997
egavrielly4b;ygWJF4;16-Nov-1999
tdammarell4c;DYi6Aj2N;02-Nov-1998
pgolledge4d;mYLIkIFUum;26-Sep-1998
cdavidovici4e;szLaZi792M8;03-Mar-2000
uubsdale4f;zFDrXNV;05-Mar-2000
wyewdale4g;tSSiJ0FPV;12-Apr-2000
efryett4h;FYN2vjmB1H1;12-Apr-1998
vsweetman4i;WykyVrFLV;20-Feb-1998
msinnett4j;gt6eU6JL;02-Jun-2000
mcampbelldunlop4k;zi26xm5GmaM;25-Jun-2000
sdallaghan4l;R40P0HztKxC;08-Oct-1998
cpechet4m;r0U5yApLLG;14-Jun-2000
aclemanceau4n;xSWrzGV;17-Apr-1997
arentcome4o;FqDFoPm9CP;24-Mar-1998
djerschke4p;dqyuuv10T;03-Sep-1997
tkochl4q;3iBWGBC;08-Jun-1997
awimpeney4r;FaELj1OgVQ;18-Apr-1997
hmatzaitis4s;IWQWwUWSgxo;25-Sep-1997
bdemeyer4t;wdPW67hLq2oA;09-Sep-1997
ecunliffe4u;ct6fNjqG;28-Nov-2000
